"service_id","date","exception_type"
"27","20230430","1"
"27","20230702","1"
"27","20230813","1"
"27","20230730","1"
"27","20230618","1"
"27","20230507","1"
"27","20230518","1"
"27","20230529","1"
"27","20230501","1"
"27","20230709","1"
"27","20230611","1"
"27","20230528","1"
"28","20230716","1"
"28","20230604","1"
"28","20230521","1"
"28","20230806","1"
"28","20230723","1"
"28","20230625","1"
"28","20230514","1"
"28","20230608","1"
"28","20230430","1"
"28","20230702","1"
"28","20230813","1"
"28","20230730","1"
"28","20230618","1"
"28","20230507","1"
"28","20230518","1"
"28","20230529","1"
"28","20230501","1"
"28","20230709","1"
"28","20230423","1"
"28","20230611","1"
"28","20230528","1"
"29","20230809","1"
"29","20230726","1"
"29","20230816","1"
"29","20230802","1"
"30","20230801","1"
"30","20230725","1"
"30","20230808","1"
"30","20230815","1"
"31","20230710","1"
"31","20230626","1"
"31","20230612","1"
"31","20230515","1"
"31","20230703","1"
"31","20230717","1"
"31","20230619","1"
"31","20230522","1"
"31","20230605","1"
"31","20230508","1"
"32","20230621","1"
"32","20230607","1"
"32","20230524","1"
"32","20230510","1"
"32","20230705","1"
"32","20230719","1"
"32","20230628","1"
"32","20230614","1"
"32","20230531","1"
"32","20230517","1"
"32","20230712","1"
"32","20230503","1"
"33","20230713","1"
"33","20230629","1"
"33","20230706","1"
"33","20230720","1"
"33","20230622","1"
"34","20230530","1"
"34","20230613","1"
"34","20230516","1"
"34","20230502","1"
"34","20230711","1"
"34","20230620","1"
"34","20230606","1"
"34","20230523","1"
"34","20230509","1"
"34","20230704","1"
"34","20230718","1"
"34","20230627","1"
"35","20230623","1"
"35","20230714","1"
"35","20230630","1"
"35","20230707","1"
"35","20230721","1"
"36","20230621","1"
"36","20230705","1"
"36","20230719","1"
"36","20230628","1"
"36","20230712","1"
"37","20230803","1"
"37","20230727","1"
"37","20230810","1"
"37","20230817","1"
"38","20230804","1"
"38","20230609","1"
"38","20230811","1"
"38","20230728","1"
"38","20230818","1"
"39","20230527","1"
"39","20230610","1"
"39","20230805","1"
"39","20230722","1"
"39","20230520","1"
"39","20230603","1"
"39","20230701","1"
"39","20230729","1"
"39","20230812","1"
"39","20230624","1"
"39","20230513","1"
"39","20230708","1"
"39","20230429","1"
"39","20230617","1"
"39","20230506","1"
"39","20230715","1"
"40","20230422","1"
"40","20230527","1"
"40","20230610","1"
"40","20230805","1"
"40","20230722","1"
"40","20230520","1"
"40","20230603","1"
"40","20230701","1"
"40","20230729","1"
"40","20230812","1"
"40","20230624","1"
"40","20230513","1"
"40","20230708","1"
"40","20230429","1"
"40","20230617","1"
"40","20230506","1"
"40","20230715","1"
"41","20230419","1"
"42","20230418","1"
"43","20230421","1"
"44","20230420","1"
"45","20230530","1"
"45","20230613","1"
"45","20230711","1"
"45","20230620","1"
"45","20230606","1"
"45","20230523","1"
"45","20230704","1"
"45","20230718","1"
"45","20230627","1"
"46","20230710","1"
"46","20230626","1"
"46","20230612","1"
"46","20230703","1"
"46","20230717","1"
"46","20230619","1"
"46","20230522","1"
"46","20230605","1"
"47","20230621","1"
"47","20230607","1"
"47","20230524","1"
"47","20230705","1"
"47","20230719","1"
"47","20230628","1"
"47","20230614","1"
"47","20230531","1"
"47","20230712","1"
"48","20230804","1"
"48","20230811","1"
"48","20230728","1"
"48","20230818","1"
"49","20230711","1"
"49","20230620","1"
"49","20230704","1"
"49","20230718","1"
"49","20230627","1"
"50","20230710","1"
"50","20230626","1"
"50","20230703","1"
"50","20230717","1"
"50","20230619","1"
"51","20230716","1"
"51","20230604","1"
"51","20230521","1"
"51","20230806","1"
"51","20230723","1"
"51","20230625","1"
"51","20230514","1"
"51","20230608","1"
"51","20230702","1"
"51","20230813","1"
"51","20230730","1"
"51","20230618","1"
"51","20230518","1"
"51","20230529","1"
"51","20230709","1"
"51","20230611","1"
"51","20230528","1"
"52","20230505","1"
"52","20230623","1"
"52","20230714","1"
"52","20230526","1"
"52","20230512","1"
"52","20230428","1"
"52","20230630","1"
"52","20230707","1"
"52","20230616","1"
"52","20230602","1"
"53","20230721","1"
"54","20230505","1"
"54","20230512","1"
"54","20230428","1"
"55","20230502","1"
"55","20230509","1"
"55","20230425","1"
"56","20230427","1"
"56","20230504","1"
"56","20230511","1"
"57","20230424","1"
"57","20230508","1"
"58","20230510","1"
"58","20230426","1"
"58","20230503","1"
"59","20230424","1"
"59","20230515","1"
"59","20230508","1"
"60","20230516","1"
"60","20230502","1"
"60","20230509","1"
"60","20230425","1"
"61","20230510","1"
"61","20230426","1"
"61","20230517","1"
"61","20230503","1"
"62","20230421","1"
"62","20230519","1"
"63","20230427","1"
"64","20230425","1"
"65","20230428","1"
"66","20230426","1"
"67","20230530","1"
"67","20230613","1"
"67","20230516","1"
"67","20230711","1"
"67","20230620","1"
"67","20230606","1"
"67","20230523","1"
"67","20230509","1"
"67","20230704","1"
"67","20230718","1"
"67","20230627","1"
"68","20230713","1"
"68","20230629","1"
"68","20230615","1"
"68","20230601","1"
"68","20230706","1"
"68","20230720","1"
"68","20230622","1"
"68","20230525","1"
"68","20230511","1"
"69","20230621","1"
"69","20230607","1"
"69","20230524","1"
"69","20230510","1"
"69","20230705","1"
"69","20230719","1"
"69","20230628","1"
"69","20230614","1"
"69","20230531","1"
"69","20230517","1"
"69","20230712","1"
"70","20230623","1"
"70","20230714","1"
"70","20230526","1"
"70","20230512","1"
"70","20230630","1"
"70","20230707","1"
"70","20230616","1"
"70","20230721","1"
"70","20230602","1"
"71","20230716","1"
"71","20230604","1"
"71","20230521","1"
"71","20230806","1"
"71","20230723","1"
"71","20230625","1"
"71","20230514","1"
"71","20230608","1"
"71","20230702","1"
"71","20230813","1"
"71","20230730","1"
"71","20230618","1"
"71","20230507","1"
"71","20230518","1"
"71","20230529","1"
"71","20230501","1"
"71","20230709","1"
"71","20230611","1"
"71","20230528","1"
"72","20230527","1"
"72","20230610","1"
"72","20230805","1"
"72","20230722","1"
"72","20230520","1"
"72","20230603","1"
"72","20230701","1"
"72","20230729","1"
"72","20230812","1"
"72","20230624","1"
"72","20230513","1"
"72","20230708","1"
"72","20230617","1"
"72","20230506","1"
"72","20230715","1"
"73","20230805","1"
"73","20230722","1"
"73","20230701","1"
"73","20230729","1"
"73","20230812","1"
"73","20230624","1"
"73","20230708","1"
"73","20230715","1"
"74","20230621","1"
"74","20230607","1"
"74","20230705","1"
"74","20230719","1"
"74","20230628","1"
"74","20230614","1"
"74","20230712","1"
"75","20230623","1"
"75","20230714","1"
"75","20230630","1"
"75","20230707","1"
"75","20230616","1"
"75","20230721","1"
"76","20230713","1"
"76","20230629","1"
"76","20230615","1"
"76","20230706","1"
"76","20230720","1"
"76","20230622","1"
"77","20230710","1"
"77","20230626","1"
"77","20230612","1"
"77","20230703","1"
"77","20230717","1"
"77","20230619","1"
"77","20230605","1"
"78","20230613","1"
"78","20230711","1"
"78","20230620","1"
"78","20230606","1"
"78","20230704","1"
"78","20230718","1"
"78","20230627","1"
"79","20230713","1"
"79","20230427","1"
"79","20230629","1"
"79","20230615","1"
"79","20230601","1"
"79","20230706","1"
"79","20230720","1"
"79","20230622","1"
"79","20230525","1"
"79","20230511","1"
"80","20230717","1"
"81","20230718","1"
"82","20230710","1"
"82","20230424","1"
"82","20230626","1"
"82","20230612","1"
"82","20230515","1"
"82","20230703","1"
"82","20230619","1"
"82","20230522","1"
"82","20230605","1"
"82","20230508","1"
"83","20230621","1"
"83","20230607","1"
"83","20230524","1"
"83","20230510","1"
"83","20230705","1"
"83","20230426","1"
"83","20230628","1"
"83","20230614","1"
"83","20230531","1"
"83","20230517","1"
"83","20230712","1"
"83","20230503","1"
"84","20230713","1"
"84","20230427","1"
"84","20230629","1"
"84","20230615","1"
"84","20230601","1"
"84","20230504","1"
"84","20230706","1"
"84","20230622","1"
"84","20230525","1"
"84","20230511","1"
"85","20230609","1"
"85","20230519","1"
"86","20230530","1"
"86","20230613","1"
"86","20230516","1"
"86","20230502","1"
"86","20230711","1"
"86","20230620","1"
"86","20230606","1"
"86","20230523","1"
"86","20230509","1"
"86","20230704","1"
"86","20230425","1"
"86","20230627","1"
"87","20230720","1"
"88","20230719","1"
"89","20230716","1"
"89","20230806","1"
"89","20230723","1"
"89","20230625","1"
"89","20230702","1"
"89","20230813","1"
"89","20230730","1"
"89","20230709","1"
"90","20230516","1"
"91","20230515","1"
"92","20230517","1"
"93","20230519","1"
"94","20230505","1"
"94","20230623","1"
"94","20230714","1"
"94","20230526","1"
"94","20230512","1"
"94","20230630","1"
"94","20230707","1"
"94","20230616","1"
"94","20230602","1"
"95","20230422","1"
"95","20230429","1"
"95","20230506","1"
"96","20230429","1"
"96","20230506","1"
"97","20230508","1"
"98","20230502","1"
"98","20230509","1"
"99","20230510","1"
"99","20230503","1"
"100","20230505","1"
"100","20230512","1"
"101","20230504","1"
"101","20230511","1"
"102","20230421","1"
"102","20230609","1"
"102","20230519","1"
"103","20230530","1"
"103","20230613","1"
"103","20230516","1"
"103","20230711","1"
"103","20230620","1"
"103","20230606","1"
"103","20230523","1"
"103","20230509","1"
"103","20230704","1"
"103","20230718","1"
"103","20230425","1"
"103","20230627","1"
"104","20230621","1"
"104","20230607","1"
"104","20230524","1"
"104","20230510","1"
"104","20230705","1"
"104","20230719","1"
"104","20230426","1"
"104","20230628","1"
"104","20230614","1"
"104","20230531","1"
"104","20230517","1"
"104","20230712","1"
"105","20230530","1"
"105","20230613","1"
"105","20230516","1"
"105","20230502","1"
"105","20230606","1"
"105","20230523","1"
"105","20230509","1"
"105","20230425","1"
"106","20230427","1"
"106","20230615","1"
"106","20230601","1"
"106","20230504","1"
"106","20230525","1"
"106","20230511","1"
"107","20230607","1"
"107","20230524","1"
"107","20230510","1"
"107","20230426","1"
"107","20230614","1"
"107","20230531","1"
"107","20230517","1"
"107","20230503","1"
"108","20230424","1"
"108","20230612","1"
"108","20230515","1"
"108","20230522","1"
"108","20230605","1"
"108","20230508","1"
"109","20230505","1"
"109","20230526","1"
"109","20230512","1"
"109","20230428","1"
"109","20230616","1"
"109","20230602","1"
"110","20230422","1"
"110","20230429","1"
"111","20230422","1"
"111","20230527","1"
"111","20230610","1"
"111","20230520","1"
"111","20230603","1"
"111","20230513","1"
"111","20230429","1"
"111","20230617","1"
"111","20230506","1"
"112","20230527","1"
"112","20230610","1"
"112","20230520","1"
"112","20230603","1"
"112","20230513","1"
"112","20230429","1"
"112","20230617","1"
"112","20230506","1"
"113","20230604","1"
"113","20230521","1"
"113","20230514","1"
"113","20230608","1"
"113","20230430","1"
"113","20230618","1"
"113","20230507","1"
"113","20230518","1"
"113","20230529","1"
"113","20230501","1"
"113","20230423","1"
"113","20230611","1"
"113","20230528","1"
"114","20230604","1"
"114","20230521","1"
"114","20230514","1"
"114","20230608","1"
"114","20230430","1"
"114","20230618","1"
"114","20230507","1"
"114","20230518","1"
"114","20230529","1"
"114","20230501","1"
"114","20230611","1"
"114","20230528","1"
"115","20230515","1"
"115","20230508","1"
"116","20230510","1"
"116","20230517","1"
"117","20230516","1"
"117","20230509","1"
"118","20230511","1"
"119","20230512","1"
"120","20230430","1"
"120","20230507","1"
"120","20230501","1"
"120","20230423","1"
"121","20230430","1"
"121","20230507","1"
"121","20230501","1"
"122","20230424","1"
"122","20230515","1"
"122","20230522","1"
"122","20230508","1"
"123","20230505","1"
"123","20230526","1"
"123","20230512","1"
"123","20230428","1"
"123","20230602","1"
"124","20230530","1"
"124","20230516","1"
"124","20230502","1"
"124","20230523","1"
"124","20230509","1"
"124","20230425","1"
"125","20230427","1"
"125","20230601","1"
"125","20230504","1"
"125","20230525","1"
"125","20230511","1"
"126","20230524","1"
"126","20230510","1"
"126","20230426","1"
"126","20230531","1"
"126","20230517","1"
"126","20230503","1"
"127","20230623","1"
"127","20230714","1"
"127","20230630","1"
"127","20230707","1"
"128","20230502","1"
"129","20230504","1"
"130","20230503","1"
