"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible"
"13","10","10455","","26204","1","","",""
"13","3","10456","","26204","1","","",""
"13","4","10457","","26204","1","","",""
"13","10","10458","","26202","1","","",""
"13","6","10459","","26201","1","","",""
"59","34","1046","","5035","0","","",""
"13","7","10460","","26201","1","","",""
"13","8","10461","","26201","1","","",""
"13","9","10462","","26201","1","","",""
"13","4","10463","","26205","1","","",""
"13","8","10464","","26204","1","","",""
"13","7","10465","","26204","1","","",""
"13","8","10466","","26203","1","","",""
"13","7","10467","","26203","1","","",""
"13","11","10468","","26201","1","","",""
"13","11","10469","","26205","1","","",""
"59","32","1047","","5035","0","","",""
"13","7","10470","","26202","1","","",""
"13","1","10471","","26205","1","","",""
"13","8","10472","","26205","1","","",""
"13","1","10473","","26204","1","","",""
"13","4","10474","","26203","1","","",""
"13","10","10475","","26203","1","","",""
"13","9","10476","","26202","1","","",""
"13","3","10477","","26202","1","","",""
"13","1","10478","","26202","1","","",""
"13","8","10479","","26202","1","","",""
"59","24","1048","","5035","0","","",""
"13","10","10480","","26205","1","","",""
"13","11","10481","","26202","1","","",""
"13","4","10482","","26202","1","","",""
"13","9","10483","","26204","1","","",""
"13","2","10484","","26203","1","","",""
"13","11","10485","","26203","1","","",""
"13","2","10486","","26205","1","","",""
"13","6","10487","","26204","1","","",""
"13","3","10488","","26203","1","","",""
"13","6","10489","","26206","1","","",""
"4","10","1049","","35110","0","","",""
"13","3","10490","","26206","1","","",""
"13","11","10491","","26206","1","","",""
"13","9","10492","","26206","1","","",""
"13","2","10493","","26206","1","","",""
"58","34","10494","","503","0","","",""
"9","53","10495","","180521","0","","",""
"34","4","10496","","72102","0","","",""
"34","2","10497","","72102","0","","",""
"34","10","10498","","72102","0","","",""
"34","3","10499","","72102","0","","",""
"88","8","105","","6003","0","","",""
"4","4","1050","","35110","0","","",""
"34","11","10500","","72102","0","","",""
"38","30","10501","","76102","0","","",""
"38","29","10502","","76102","0","","",""
"38","37","10503","","76102","0","","",""
"38","18","10504","","76102","0","","",""
"38","47","10505","","76102","0","","",""
"38","19","10506","","76102","0","","",""
"38","45","10507","","76102","0","","",""
"38","38","10508","","76102","0","","",""
"38","11","10509","","76102","0","","",""
"4","3","1051","","35110","0","","",""
"38","46","10510","","76102","0","","",""
"23","7","10511","","50813","1","","",""
"23","6","10512","","50813","1","","",""
"23","8","10513","","50813","1","","",""
"23","1","10514","","50813","1","","",""
"23","9","10515","","50813","1","","",""
"23","11","10516","","50204","1","","",""
"23","3","10517","","50203","1","","",""
"23","2","10518","","50204","1","","",""
"23","3","10519","","50202","1","","",""
"4","2","1052","","35110","0","","",""
"23","6","10520","","50201","1","","",""
"23","7","10521","","50206","1","","",""
"23","3","10522","","50206","1","","",""
"23","7","10523","","50201","1","","",""
"23","10","10524","","50206","1","","",""
"23","8","10525","","50205","1","","",""
"23","6","10526","","50205","1","","",""
"23","11","10527","","50205","1","","",""
"23","10","10528","","50205","1","","",""
"23","10","10529","","50202","1","","",""
"4","1","1053","","35110","0","","",""
"23","4","10530","","50202","1","","",""
"23","8","10531","","50202","1","","",""
"23","8","10532","","50201","1","","",""
"23","10","10533","","50201","1","","",""
"23","3","10534","","50205","1","","",""
"23","1","10535","","50201","1","","",""
"23","4","10536","","50201","1","","",""
"23","4","10537","","50206","1","","",""
"23","2","10538","","50206","1","","",""
"23","11","10539","","50206","1","","",""
"4","8","1054","","35110","0","","",""
"23","4","10540","","50205","1","","",""
"23","6","10541","","50202","1","","",""
"23","3","10542","","50201","1","","",""
"23","9","10543","","50201","1","","",""
"23","2","10544","","50201","1","","",""
"23","8","10545","","50206","1","","",""
"23","11","10546","","50201","1","","",""
"23","1","10547","","50206","1","","",""
"23","6","10548","","50206","1","","",""
"23","9","10549","","50202","1","","",""
"4","7","1055","","35110","0","","",""
"23","7","10550","","50202","1","","",""
"23","11","10551","","50202","1","","",""
"23","2","10552","","50202","1","","",""
"23","1","10553","","50202","1","","",""
"23","2","10554","","50205","1","","",""
"23","9","10555","","50205","1","","",""
"23","9","10556","","50206","1","","",""
"23","7","10557","","50205","1","","",""
"23","1","10558","","50205","1","","",""
"53","8","10559","","30703","0","","",""
"4","6","1056","","35110","0","","",""
"53","1","10560","","30703","0","","",""
"53","9","10561","","30703","0","","",""
"53","7","10562","","30703","0","","",""
"53","6","10563","","30703","0","","",""
"23","10","10564","","50204","1","","",""
"23","2","10565","","50203","1","","",""
"23","4","10566","","50203","1","","",""
"23","10","10567","","50203","1","","",""
"23","11","10568","","50203","1","","",""
"23","3","10569","","50204","1","","",""
"74","6","1057","","71102","0","","",""
"23","4","10570","","50204","1","","",""
"23","53","10571","","50890","1","","",""
"1","1","10572","","41702","0","","",""
"1","6","10573","","41702","0","","",""
"1","9","10574","","41702","0","","",""
"1","8","10575","","41702","0","","",""
"1","7","10576","","41702","0","","",""
"23","53","10577","","50894","1","","",""
"52","39","10578","","2145","0","","",""
"65","9","10579","","51807","1","","",""
"74","9","1058","","71114","0","","",""
"65","6","10580","","51807","1","","",""
"65","7","10581","","51807","1","","",""
"65","1","10582","","51807","1","","",""
"65","8","10583","","51807","1","","",""
"18","9","10584","","84705","0","","",""
"18","1","10585","","84705","0","","",""
"18","8","10586","","84705","0","","",""
